IDAE -  ,,,,,,,,
EUROGAZA EMERGENCIAS SIRONA SIM1De350055110,,Eléctricos puros,M1,3500,29.2,41,120,
EUROGAZA EMERGENCIAS SIRONA SIM1De350074110,,Eléctricos puros,M1,3500,29.7,55,168,
Fiat 500e 3+1 -  Icon / Passion / Business  (87kW),,Eléctricos puros,M1,1720,14.3,87,313,
Fiat 500e 3+1 - La Prima  (87kW),,Eléctricos puros,M1,1720,14.6,87,313,
Fiat 500e 500e 3+1 Icon 190km 70kW (95cv),,Eléctricos puros,M1,1580,13.3,70,190,
Fiat 500e 500e 3+1 Icon 320km 87kW (118cv),,Eléctricos puros,M1,1580,14.3,87,320,
Fiat 500e 500e 3+1 laPrima 320km 87kW (118cv),,Eléctricos puros,M1,1580,14.6,87,320,
Fiat 500e 500e 3+1 laPrima by Bocelli 320km 87kW (118cv),,Eléctricos puros,M1,1580,14.6,87,320,
Fiat 500e 500e Action 190km 70kW (95cv),,Eléctricos puros,M1,1580,13.3,70,190,
Fiat 500e 500e Cabrio Icon 190km 70kW (95cv),,Eléctricos puros,M1,1580,13.3,70,190,
Fiat 500e 500e Cabrio Icon 320km 87kW (118cv),,Eléctricos puros,M1,1580,14.7,87,320,
Fiat 500e 500e Cabrio laPrima 320km 87kW (118cv),,Eléctricos puros,M1,1580,14.7,87,320,
Fiat 500e 500e Cabrio laPrima by Bocelli 320km 87kW (118cv),,Eléctricos puros,M1,1580,14.7,87,320,
Fiat 500e 500e Cabrio Red 190km 70kW (95cv),,Eléctricos puros,M1,1580,13.3,70,190,
Fiat 500e 500e Cabrio Red 320km 87kW (118cv),,Eléctricos puros,M1,1580,14.7,87,320,
Fiat 500e 500e Icon 190km 70kW (95cv),,Eléctricos puros,M1,1580,13.3,70,190,
Fiat 500e 500e Icon 320km 87kW (118cv),,Eléctricos puros,M1,1580,14,87,320,
Fiat 500e 500e laPrima 320km 87kW (118cv),,Eléctricos puros,M1,1580,14,87,320,
Fiat 500e 500e laPrima by Bocelli320km 87kW (118cv),,Eléctricos puros,M1,1580,14,87,320,
Fiat 500e 500e Red 190km 70kW (95cv),,Eléctricos puros,M1,1580,13.3,70,185,
Fiat 500e 500e Red 320km 87kW (118cv),,Eléctricos puros,M1,1580,14,87,320,
Fiat 500e Berlina -  Icon / Passion / Business  (87kW),,Eléctricos puros,M1,1690,14,87,313,
Fiat 500e Berlina - Action (70kW),,Eléctricos puros,M1,1580,13.3,70,185,
Fiat 500e Cabrio - Icon / Passion / Business  (87kW),,Eléctricos puros,M1,1730,14.7,87,320,
Fiat 500e Fiat 500e 500e Cabrio la Prima (85kW),,Eléctricos puros,M1,1580,14.6,87,320,
Fiat 500e Fiat 500e 500e HB la Prima (85kW),,Eléctricos puros,M1,1580,14,87,320,
Fiat 500e MY23 500e 190km 70kW (95cv),,Eléctricos puros,M1,1580,13.3,70,190,
Fiat 500e MY23 500e 3+1 190km 70kW (95cv),,Eléctricos puros,M1,1580,13.3,70,190,
Fiat 500e MY23 500e 3+1 320km 87kW (118cv),,Eléctricos puros,M1,1580,14,87,320,
Fiat 500e MY23 500e 3+1 laPrima by Bocelli 320km 87kW (118cv),,Eléctricos puros,M1,1580,14.6,87,320,
Fiat 500e MY23 500e 320km 87kW (118cv),,Eléctricos puros,M1,1580,14,87,320,
Fiat 500e MY23 500e Cabrio 190km 70kW (95cv),,Eléctricos puros,M1,1580,13.3,70,190,
Fiat 500e MY23 500e Cabrio 320km 87kW (118cv),,Eléctricos puros,M1,1580,14,87,320,
Fiat 500e MY23 500e Cabrio laPrima by Bocelli 320km 87kW (118cv),,Eléctricos puros,M1,1580,14.7,87,320,
Fiat 500e MY23 500e Cabrio Red 190km 70kW (95cv),,Eléctricos puros,M1,1580,13.3,70,190,
Fiat 500e MY23 500e Cabrio Red 320km 87kW (118cv),,Eléctricos puros,M1,1580,14,87,320,
Fiat 500e MY23 500e laPrima by Bocelli320km 87kW (118cv),,Eléctricos puros,M1,1580,14,87,320,
Fiat 500e MY23 500e Red 190km 70kW (95cv),,Eléctricos puros,M1,1580,13.3,70,190,
Fiat 500e MY23 500e Red 320km 87kW (118cv),,Eléctricos puros,M1,1580,14,87,320,
Fiat E-Ulysse MY23 E-Ulysse Lounge Talla L 100 kW (136cv) Batería 75kWh,,Eléctricos puros,M1,1870,27.8,100,310,
Fiat E-Ulysse MY23 E-Ulysse Lounge Talla M 100 kW (136cv) Batería 75kWh,,Eléctricos puros,M1,1870,26.1,100,330,
Fiat E-Ulysse MY23 E-Ulysse Talla L 100 kW (136cv) Batería 75kWh,,Eléctricos puros,M1,1870,27.8,100,310,
Fiat E-Ulysse MY23 E-Ulysse Talla M 100 kW (136cv) Batería 50kWh,,Eléctricos puros,M1,1870,24.6,100,230,
Fiat E-Ulysse MY23 E-Ulysse Talla M 100 kW (136cv) Batería 75kWh,,Eléctricos puros,M1,1870,26.1,100,330,
Fiat eDoblo eDoblo BEV + launch Pack bateria 50 KW 100kw (136 cv),,Eléctricos puros,M1,1814,19.6,100,285,
Fiat eDoblo eDoblo BEV bateria 50 KW 100kw (136 cv),,Eléctricos puros,M1,1814,19.6,100,285,
Fiat eDoblo eDoblo BEV Launch Edition bateria 50 KW 100kw (136 cv),,Eléctricos puros,M1,1814,19.6,100,285,
Fiat FIAT 600 BEV Nuevo Fiat 600 BEV La prima 54kwh 115kw (156cv),,Eléctricos puros,M1,1520,15.2,115,406,
Fiat FIAT 600 BEV Nuevo Fiat 600 BEV RED 54kwh 115kw (156cv),,Eléctricos puros,M1,1520,15.1,115,409,
"Ford Mustang Mach-E (03.2023) SUV Eléctrico - 75,7Kwh Aut. AWD Rango Estándar",,Eléctricos puros,M1,2640,19.5,198,400,
"Ford Mustang Mach-E (03.2023) SUV Eléctrico - 75,7Kwh Aut. RWD Rango Estándar",,Eléctricos puros,M1,2555,17.2,198,440,
"Ford Mustang Mach-E (03.2023) SUV Eléctrico - 98,8Kwh Aut. AWD Rango Extendido",,Eléctricos puros,M1,2690,18.8,258,550,
"Ford Mustang Mach-E (03.2023) SUV Eléctrico - 98,8Kwh Aut. GT Rango Extendido",,Eléctricos puros,M1,2605,21.2,358,490,
"Ford Mustang Mach-E (03.2023) SUV Eléctrico - 98,8Kwh Aut. RWD Rango Extendido",,Eléctricos puros,M1,2605,17.3,216,600,
"Ford Mustang Mach-E (03.2024) SUV Eléctrico - 72,6 kWh Aut. Base RWD Rango Estándar",,Eléctricos puros,M1,2690,17.8,198,470,
"Ford Mustang Mach-E (03.2024) SUV Eléctrico - 72,6 kWh Aut. Premium AWD Rango Estándar",,Eléctricos puros,M1,2690,19.5,232,428,
Ford Mustang Mach-E (03.2024) SUV Eléctrico - 91 kWh Aut. GT Rango Extendido,,Eléctricos puros,M1,2690,21.2,358,490,
Ford Mustang Mach-E (03.2024) SUV Eléctrico - 91 kWh Aut. Premium AWD Rango Extendido,,Eléctricos puros,M1,2690,18.8,258,550,
Ford Mustang Mach-E (03.2024) SUV Eléctrico - 91 kWh Aut. Premium RWD Rango Extendido,,Eléctricos puros,M1,2690,17.3,216,600,
GREENTOUR EV 2 ,,Eléctricos puros,M1,1555,18,30,300,
GREENTOUR EV 4 ,,Eléctricos puros,M1,1880,18,40,300,
Honda e:Ny1 Advance,,Eléctricos puros,M1,2080,18.2,150,412,
Honda e:Ny1 Elegance,,Eléctricos puros,M1,2080,18.2,150,412,
Honda Honda e Honda e Advance BEV,,Eléctricos puros,M1,1870,17.2,113,222,
Honda Honda e Honda e BEV,,Eléctricos puros,M1,1855,17.2,100,222,
"Hyundai Canarias IONIQ 5 2021 Motor eléctrico 124,9 kW (170 CV) 2WD",,Eléctricos puros,M1,2370,16.7,125,384,
Hyundai Canarias IONIQ 5 2021 Motor eléctrico 160 kW (217 CV) 2WD Llanta 19,,Eléctricos puros,M1,2430,16.8,160,481,
Hyundai Canarias IONIQ 5 2021 Motor eléctrico 160 kW (217 CV) 2WD Llanta 20,,Eléctricos puros,M1,2430,17.9,160,451,
"Hyundai Canarias IONIQ 5 2021 Motor eléctrico 168,1 kW (229 CV) 2WD Llanta 19""""",,Eléctricos puros,M1,2450,17.9,168,507,
"Hyundai Canarias IONIQ 5 2021 Motor eléctrico 168,1 kW (229 CV) 2WD Llanta 20""""",,Eléctricos puros,M1,2450,17,168,476,
"Hyundai Canarias IONIQ 5 2021 Motor eléctrico 172,6 kW (235 CV) 4WD",,Eléctricos puros,M1,2480,18.1,173,360,
"Hyundai Canarias IONIQ 5 2021 Motor eléctrico 224,6 kW (305 CV) 4WD Llanta 19",,Eléctricos puros,M1,2540,17.7,225,460,
"Hyundai Canarias IONIQ 5 2021 Motor eléctrico 224,6 kW (305 CV) 4WD Llanta 20",,Eléctricos puros,M1,2540,19,225,430,
"Hyundai Canarias IONIQ 5 2021 Motor eléctrico 239,3 kW (325 CV) 4WD Llanta 19""""",,Eléctricos puros,M1,2560,17.9,239,481,
"Hyundai Canarias IONIQ 5 2021 Motor eléctrico 239,3 kW (325 CV) 4WD Llanta 20""""",,Eléctricos puros,M1,2560,19.1,239,454,
Hyundai Canarias IONIQ Eléctrico FL 2019 Motor eléctrico 100 kW (136 CV),,Eléctricos puros,M1,1970,13.8,100,311,
Hyundai Canarias IONIQ Eléctrico FL 2019 Motor eléctrico 100 kW (136 CV) MY21,,Eléctricos puros,M1,1970,13.8,100,311,
Hyundai Canarias Kona Eléctrico 2018 Motor eléctrico 100kW (136 CV),,Eléctricos puros,M1,2020,15,100,289,
Hyundai Canarias Kona Eléctrico 2018 Motor eléctrico 150kW (204 CV),,Eléctricos puros,M1,2170,15.4,150,449,
Hyundai Canarias KONA Eléctrico FL 2020 Motor eléctrico 100kW (136 CV),,Eléctricos puros,M1,2020,14.3,100,305,39.2
Hyundai Canarias KONA Eléctrico FL 2020 Motor eléctrico 150kW (204 CV),,Eléctricos puros,M1,2170,14.7,150,484,64
Hyundai IONIQ 5  168kW 77kWh RWD ENERGY,,Eléctricos puros,M1,2450,18,168,476,77
Hyundai IONIQ 5  168kW 77kWh RWD LIGHT,,Eléctricos puros,M1,2450,17,168,507,77
Hyundai IONIQ 5 125kW 58kWh RWD LIGHT,,Eléctricos puros,M1,2370,16.7,125,384,58
Hyundai IONIQ 5 160kW 73kWh RWD ENERGY,,Eléctricos puros,M1,2430,17.9,160,451,73
Hyundai IONIQ 5 160kW 73kWh RWD LIGHT,,Eléctricos puros,M1,2430,16.8,160,481,73
Hyundai IONIQ 5 160kW 73kWh RWD STAR,,Eléctricos puros,M1,2430,16.8,160,481,73
Hyundai IONIQ 5 168kW 77kWh RWD STAR,,Eléctricos puros,M1,2450,17,168,507,77
Hyundai IONIQ 5 225kW 73kWh AWD ENERGY,,Eléctricos puros,M1,2540,19,225,430,73
Hyundai IONIQ 5 239kW 77kWh AWD ENERGY,,Eléctricos puros,M1,2560,19.1,239,454,77
Hyundai IONIQ 5 478kW 84kWh AWD N,,Eléctricos puros,M1,2660,21.2,478,448,84
Hyundai IONIQ 6 111KW 53kWh RWD LIGHT,,Eléctricos puros,M1,2280,13.9,111,429,53
Hyundai IONIQ 6 168KW 77kWh RWD STAR,,Eléctricos puros,M1,2410,14.3,168,614,77
Hyundai IONIQ 6 239kW 77kWh AWD ENERGY,,Eléctricos puros,M1,2520,16.9,239,519,77
Hyundai IONIQ FL EV 5P 100kW KLASS,,Eléctricos puros,M1,1970,13.8,100,311,38
Hyundai IONIQ FL EV 5P 100kW KLASS TAXI FLEET,,Eléctricos puros,M1,1970,13.8,100,311,38
Hyundai IONIQ FL EV 5P 100kW STYLE,,Eléctricos puros,M1,1970,13.8,100,311,38
Hyundai IONIQ FL EV 5P 100kW TECNO,,Eléctricos puros,M1,1970,13.8,100,311,38
Hyundai KONA EV 115kW 48kWh FLEXX,,Eléctricos puros,M1,2110,14.6,114,377,48
Hyundai KONA EV 115kW 48kWh TECNO 2C,,Eléctricos puros,M1,2110,14.6,114,377,48
Hyundai KONA EV 160kW 65kWh FLEXX,,Eléctricos puros,M1,2220,14.7,160,512,65
Hyundai KONA EV 160kW 65kWh STYLE 2C,,Eléctricos puros,M1,2220,16.2,160,468,65
Hyundai KONA EV 160kW 65kWh TECNO 2C,,Eléctricos puros,M1,2220,14.9,160,511,65
Hyundai KONA EV FL 100KW MAXX,,Eléctricos puros,M1,2020,14.3,100,305,39
Hyundai KONA EV FL 100KW TECNO 2C,,Eléctricos puros,M1,2020,14.3,100,305,39
Hyundai KONA EV FL 150KW MAXX,,Eléctricos puros,M1,2170,14.7,150,484,64
Hyundai KONA EV FL 150KW STYLE SKY,,Eléctricos puros,M1,2170,14.7,150,484,64
Hyundai KONA EV FL 150KW TECNO 2C,,Eléctricos puros,M1,2170,14.7,150,484,64
JAC iEV7s ,,Eléctricos puros,M1,1870,16.3,85,275,40
Jaguar I-PACE 400 CV AWD Auto S/SE/HSE/First Edition - 415 km,,Eléctricos puros,M1,2670,24.8,294,415,90
Jaguar I-PACE 400 CV AWD Auto S/SE/HSE/First Edition - 470 km,,Eléctricos puros,M1,2670,22,294,470,90
Jeep Avenger Avenger Altitude Eléctrico,,Eléctricos puros,M1,1536,15.1,115,400,54
Jeep Avenger Avenger Avenger Eléctrico,,Eléctricos puros,M1,1536,15.1,115,400,54
Jeep Avenger Avenger First Edition Eléctrico,,Eléctricos puros,M1,1536,15.1,115,400,54
Jeep Avenger Avenger Longitude Eléctrico,,Eléctricos puros,M1,1536,15.1,115,400,54
Jeep Avenger Avenger Summit Eléctrico,,Eléctricos puros,M1,1536,15.1,115,400,54
JIAYUAN KOMI 17,,Eléctricos puros,M1,1300,10.7,17,161,17
JIAYUAN KOMI 35,,Eléctricos puros,M1,1300,10.7,35,320,35
"Kia Canarias eNiro EV 100kW(136cv) 2wd AT FLEX 39,2kWh (289km) {MY19}",,Eléctricos puros,M1,2080,15.3,100,289,39.2
"Kia Canarias eNiro EV 100kW(136cv) 2wd AT SPIRIT 39,2kWh (289km) {MY19}",,Eléctricos puros,M1,2080,15.3,100,289,39.2
Kia Canarias eNiro EV 150kW(204cv) 2wd AT KLASS 64kWh (455km) {MY20},,Eléctricos puros,M1,2230,15.9,150,455,64
Kia Canarias eNiro EV 150kW(204cv) 2wd AT KLASS 64kWh {MY21},,Eléctricos puros,M1,2230,15.9,150,455,64
Kia Canarias eNiro EV 150kW(204cv) 2wd AT SPIRIT 64kWh (455km) {MY19},,Eléctricos puros,M1,2230,15.9,150,455,64
Kia Canarias eNiro EV 150kW(204cv) 2wd AT SPIRIT 64kWh (455km) {MY20},,Eléctricos puros,M1,2230,15.9,150,455,64
Kia Canarias eNiro EV 150kW(204cv) 2wd AT SPIRIT 64kWh {MY21},,Eléctricos puros,M1,2230,15.9,150,455,64
Kia Canarias eSoul EV 100kW(136cv) 2wd AT ACTIVE (407km urbano) {MY20},,Eléctricos puros,M1,2025,15.6,100,276,39.2
"Kia Canarias eSoul EV 100kW(136cv) 2wd AT CITY 39,2kWh {MY20}",,Eléctricos puros,M1,2025,15.6,100,276,39.2
Kia Canarias eSoul EV 150kW(204cv) 2wd AT CITY 64kWh {MY21},,Eléctricos puros,M1,2025,15.7,150,452,64
Kia Canarias EV6 AWD 239kW GT-LINE{MY22},,Eléctricos puros,M1,2530,18,239,484,77.4
Kia Canarias EV6 RWD 168kW GT-LINE {MY22},,Eléctricos puros,M1,2425,17.2,168,504,77.4
Kia Canarias EV6 RWD 168kW SPIRIT {MY22},,Eléctricos puros,M1,2425,16.5,168,528,77.4
Kia E-NIRO e-Niro Concept,,Eléctricos puros,M1,2080,15.3,100,289,39.2
Kia E-NIRO e-Niro Drive,,Eléctricos puros,M1,2080,15.3,100,289,39.2
Kia E-NIRO e-Niro Drive (Long Range),,Eléctricos puros,M1,2230,15.9,150,455,64
Kia E-NIRO e-Niro Emotion,,Eléctricos puros,M1,2080,15.3,100,289,64
Kia E-NIRO e-Niro Emotion (Long Range),,Eléctricos puros,M1,2230,15.9,150,455,64
Kia E-NIRO Emotion (Long Range)(Pack Luxury),,Eléctricos puros,M1,2230,15.9,150,455,64
Kia E-NIRO Emotion (Pack Luxury),,Eléctricos puros,M1,2080,15.3,100,289,39
Kia E-SOUL e-Soul Concept,,Eléctricos puros,M1,2025,15.6,100,276,120
Kia E-SOUL e-Soul Drive,,Eléctricos puros,M1,2025,15.6,100,276,120
Kia E-SOUL e-Soul Drive (Long Range),,Eléctricos puros,M1,2180,15.7,150,452,180
Kia E-SOUL e-Soul Emotion,,Eléctricos puros,M1,2025,15.6,100,276,120
Kia E-SOUL e-Soul Emotion (Long Range),,Eléctricos puros,M1,2180,15.7,150,452,180
Kia EV6 Air RWD,,Eléctricos puros,M1,2370,16.6,125,400,58
Kia EV6 Air RWD (Long Range),,Eléctricos puros,M1,2420,17.9,168,510,77.4
Kia EV6 Air RWD (Long Range) Pack GT-Line,,Eléctricos puros,M1,2420,17.9,168,510,77.4
Kia EV6 Air RWD (Long Range)(Pack Comfort),,Eléctricos puros,M1,2420,17.9,168,510,77.4
Kia EV6 Air RWD (Pack Comfort),,Eléctricos puros,M1,2370,16.6,125,400,58
Kia EV6 GT AWD (Long Range),,Eléctricos puros,M1,2580,17.9,430,400,77.4
Kia EV6 GT-Line AWD (Long Range),,Eléctricos puros,M1,2550,17.9,239,450,77.4
Kia EV6 GT-Line AWD (Long Range) (Pack Premium),,Eléctricos puros,M1,2550,17.9,239,450,77.4
Kia EV6 GT-Line RWD (Long Range),,Eléctricos puros,M1,2430,17.9,168,475,77.4
Kia EV6 GT-Line RWD (Long Range) (Pack Premium),,Eléctricos puros,M1,2430,17.9,168,475,77.4
Kia EV6 Plus Edition RWD (Long Range),,Eléctricos puros,M1,2420,17.9,168,510,77.4
Kia EV6 RWD,,Eléctricos puros,M1,2370,16.6,125,400,58
Kia EV6 RWD (Long Range),,Eléctricos puros,M1,2420,17.9,168,510,77.4
Kia EV6 Smart Edition RWD (Long Range),,Eléctricos puros,M1,2340,16.6,125,394,58
Kia EV9 AWD GT-Line 6pl,,Eléctricos puros,M1,3190,22.8,283,505,100
Kia EV9 AWD GT-Line 7pl,,Eléctricos puros,M1,3240,22.8,283,505,100
Kia Nuevo e-Niro Concept,,Eléctricos puros,M1,2200,15.9,150,463,64.8
Kia Nuevo e-Niro Drive,,Eléctricos puros,M1,2200,15.9,150,463,64.8
Kia Nuevo e-Niro Emotion,,Eléctricos puros,M1,2200,15.9,150,463,64.8
Kia Nuevo e-Niro Emotion Pack Luxury,,Eléctricos puros,M1,2200,15.9,150,463,64.8
Kia Nuevo e-Niro Smart Edition,,Eléctricos puros,M1,2200,15.9,150,463,64.8
Kia Nuevo e-Niro Winter Edition,,Eléctricos puros,M1,2200,15.9,150,463,64.8
Lexus Canarias RZ (L3) RZ 450e Luxury,,Eléctricos puros,M1,3390,18.3,150,404,71.4
Lexus Canarias RZ (L3) RZ 540e Plus,,Eléctricos puros,M1,3390,18.2,150,407,71.4
Lexus Canarias UX EV (M3) UX 300e 4x2 Luxury,,Eléctricos puros,M1,2860,16.9,150,441,72.8
Lexus Canarias UX EV (M3) UX 300e 4x2 Plus,,Eléctricos puros,M1,2860,16.8,150,444,72.8
Lexus RZ 450e Business/Executive/Luxury (MY23),,Eléctricos puros,M1,2640,17,230,440,71
Lexus RZ 450e Business/Executive/Luxury (MY24),,Eléctricos puros,M1,2640,17,230,440,71
Lexus UX 300E Base/Plus/Relax/Relax Pus (MY24),,Eléctricos puros,M1,2245,17,150,450,73
Lexus UX 300E Business/Business city/Executive/Luxury (MY23),,Eléctricos puros,M1,2245,17,150,450,69
Lexus UX 300E Eco/Business/Executive/Luxury (MY21),,Eléctricos puros,M1,2245,17,150,315,18.1
Lexus UX 300E Eco/Business/Executive/Luxury (MY22),,Eléctricos puros,M1,2245,17,150,315,18.1
Maserati GRANCABRIO FOLGORE M189 2AEA0000C0 6D1AN11N4,,Eléctricos puros,M1,2790,227,572.4,441,
Maserati GRANCABRIO FOLGORE M189 2AEA0000C0 6D1AN21N4,,Eléctricos puros,M1,2790,227,572.4,441,
Maserati GRANTURISMO FOLGORE M189 1AEA0000C0 6D1AN11N4,,Eléctricos puros,M1,2730,223,572.4,450,
Maserati GRANTURISMO FOLGORE M189 1AEA0000C0 6D1AN21N4,,Eléctricos puros,M1,2730,223,572.4,450,
Maserati GRECALE FOLGORE M182 0AEA0000C0 6D1ANN1E5,,Eléctricos puros,M1,3110,239,410,502,
Maserati GRECALE FOLGORE M182 0AEA0000C0 6D1ANN1E5B,,Eléctricos puros,M1,3110,239,410,502,105
MAXUS Euniq 5 52 kWh,,Eléctricos puros,M1,2750,23.1,130,260,52
Mazda MX-30 Eléctrica,,Eléctricos puros,M1,2119,17.9,107,200,100
Mercedes-Benz eCitan eCitan Tourer PRO,,Eléctricos puros,M1,2390,19.2,90,280,45
Mercedes-Benz EQA (H243) 250,,Eléctricos puros,M1,2470,16.9,140,457,66.5
Mercedes-Benz EQA (H243) 250+,,Eléctricos puros,M1,3115,16.4,140,647,70.5
Mercedes-Benz EQA (H243) 300 4MATIC,,Eléctricos puros,M1,3115,18.6,168,499,66.5
Mercedes-Benz EQA (H243) 350 4MATIC,,Eléctricos puros,M1,3195,18.6,215,499,66.5
Mercedes-Benz EQB (X243) 250+,,Eléctricos puros,M1,2540,17.5,140,599,70.5
Mercedes-Benz EQB (X243) 300 4MATIC,,Eléctricos puros,M1,2600,19.2,168,473,66.5
Mercedes-Benz EQB (X243) 350 4MATIC,,Eléctricos puros,M1,2600,19.2,215,473,66.5
Mercedes-Benz EQE Berlina (V295) 300,,Eléctricos puros,M1,2895,19.5,180,597,89
Mercedes-Benz EQE Berlina (V295) 350,,Eléctricos puros,M1,2895,19.5,215,597,89
Mercedes-Benz EQE Berlina (V295) 43 4MATIC,,Eléctricos puros,M1,3095,23.7,350,482,90.6
Mercedes-Benz EQE Berlina (V295) 53 4MATIC+,,Eléctricos puros,M1,3095,22.9,460,475,90.6
Mercedes-Benz EQE SUV (X294) 300,,Eléctricos puros,M1,2995,21.1,180,593,90.6
Mercedes-Benz EQE SUV (X294) 350 4MATIC,,Eléctricos puros,M1,3115,21.8,215,556,90.6
Mercedes-Benz EQE SUV (X294) 350+,,Eléctricos puros,M1,2995,20.8,215,636,96
Mercedes-Benz EQE SUV (X294) 43 4MATIC,,Eléctricos puros,M1,3195,25.4,350,471,90.6
Mercedes-Benz EQE SUV (X294) 500 4MATIC,,Eléctricos puros,M1,3115,21.9,300,594,96
Mercedes-Benz EQE SUV (X294) 53 4MATIC+,,Eléctricos puros,M1,3195,25.4,460,445,90.6
Mercedes-Benz EQS Berlina (V297) 450+,,Eléctricos puros,M1,2945,19.7,265,668,108.4
Mercedes-Benz EQS Berlina (V297) 500 4MATIC,,Eléctricos puros,M1,3060,20.9,330,617,108.4
Mercedes-Benz EQS Berlina (V297) 53 4MATIC+,,Eléctricos puros,M1,3225,24.2,484,500,108.4
Mercedes-Benz EQS SUV (X296) 450 4MATIC,,Eléctricos puros,M1,3410,22.8,265,689,118
Mercedes-Benz EQS SUV (X296) 500 4MATIC,,Eléctricos puros,M1,3410,22.8,330,689,118
Mercedes-Benz EQS SUV (X296) 580 4MATIC,,Eléctricos puros,M1,3410,22.8,400,689,118
Mercedes-Benz EQT EQT,,Eléctricos puros,M1,2390,19.4,90,278,45
Mercedes-Benz EQV (03.2024) EQV 250 Extralargo,,Eléctricos puros,M1,3200,27.4,150,244,90
Mercedes-Benz EQV (03.2024) EQV 250 Largo,,Eléctricos puros,M1,3200,27.1,150,247,90
Mercedes-Benz EQV (03.2024) EQV 300 Largo,,Eléctricos puros,M1,3200,27.1,150,365,90
Mercedes-Benz EQV EQV 250 Extralargo e66,,Eléctricos puros,M1,3500,28.3,150,230,66
Mercedes-Benz EQV EQV 250 Largo e66,,Eléctricos puros,M1,3500,28.1,150,231,66
Mercedes-Benz EQV EQV 300 Extralarga,,Eléctricos puros,M1,3500,28.3,70,353,100
Mercedes-Benz EQV EQV 300 Larga,,Eléctricos puros,M1,3500,28.2,70,355,100
Mercedes-Benz eVITO eVito 126 Tourer Pro Extralarga e66,,Eléctricos puros,M1,3500,27.8,150,233,60
Mercedes-Benz eVITO eVito 126 Tourer Pro Larga e66,,Eléctricos puros,M1,3500,27.7,150,234,60
Mercedes-Benz eVITO eVito 129 Tourer Pro Extralarga 3500,,Eléctricos puros,M1,3500,27.8,70,360,100
Mercedes-Benz eVITO eVito 129 Tourer Pro Larga 3500,,Eléctricos puros,M1,3500,27.7,70,361,100
Mercedes-Benz Vito (03.2024) eVito 126 Tourer PRO Larga,,Eléctricos puros,M1,3200,26.7,150,250,60
Mercedes-Benz Vito (03.2024) eVito 129 Tourer PRO Larga,,Eléctricos puros,M1,3200,26.7,150,371,90
MG MG Marvel R 132 Kw (2WD),,Eléctricos puros,M1,2288,19.4,132,402,72
MG MG Marvel R 212 Kw (4WD),,Eléctricos puros,M1,2373,20.9,212,370,72
MG MG ZS EV MG ZS EV (105 kW) MY2019,,Eléctricos puros,M1,1966,17.9,105,267,44.5
MG MG ZS EV MG ZS EV (105 kW) MY2020,,Eléctricos puros,M1,1966,17.9,105,267,44.5
MG MG ZS EV MG ZS EV (115 kW),,Eléctricos puros,M1,2070,17.8,115,440,72
MG MG ZS EV MG ZS EV (130 kW),,Eléctricos puros,M1,2060,17.3,130,320,51
